Sample,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
Compound5983,7.027657938,6.783971918,7.093768446,6.883537437,7.009142661,6.826543692,6.673259316,6.889611001,7.01070045,6.763306633,7.105015262,7.020823437,6.932332691,6.905489983,6.797370637,6.747017046,6.86471355,6.912244161,7.151078421,7.054547319,6.701719209,7.134837642,7.217398537,7.145770205,6.956953287,6.640971938
Compound7262,5.284919605,5.619104268,5.635249058,5.379462022,5.583464566,5.478666072,5.615417693,5.352315937,5.73415538,5.51432634,5.686728084,5.619286623,5.547040382,5.614725455,5.455475187,5.639060655,5.486624568,5.538815763,5.59755523,5.511565832,5.556452662,5.692645495,5.120466694,5.258815173,5.723653854,5.278601537
Compound4584,7.206558871,7.08771505,7.271365691,7.093449037,6.853252486,7.1508619,7.23812558,7.042216598,7.334265437,7.161909674,7.051431711,7.179830224,7.237986099,7.051151099,7.003750559,7.088488816,7.303223666,6.913319173,7.276700208,7.123804942,7.304398953,7.034433512,7.016385581,7.116709252,7.343001165,6.978786857
Compound5543,5.699713515,5.716519925,5.110841253,5.431235578,5.677185415,5.793165062,5.509895064,5.419605133,5.873930676,5.602988448,5.721697373,5.612791203,5.771194065,5.621288653,5.637938537,5.5390317,5.315848462,5.732844066,5.730313063,5.467900285,5.509804803,5.697789984,5.696694522,5.262401341,5.629890472,5.397580832
Compound2147,7.285624383,7.2433011,7.497128314,7.458306496,7.560992695,7.631019028,7.230520728,7.417039071,7.589781362,7.576003876,7.300356556,7.682039599,7.279796732,7.672132243,7.570024624,7.591953412,7.275792219,7.223580397,7.115063873,7.472539306,7.449303845,7.605213206,7.457179104,7.269432043,7.481804431,7.461969038
Compound6681,7.025873858,6.823355346,7.001333343,6.831692171,7.173104031,6.721989023,7.10764416,7.04491812,7.19476682,6.771232456,6.899639352,6.642478033,6.646870704,6.752032393,7.045849513,6.863936195,7.089164402,6.685465864,7.048273859,7.09244468,6.841068153,6.807327176,7.139992642,6.896859267,7.048206714,6.926436484
Compound9643,6.452898704,6.5260251,6.474280374,6.28732596,6.341065367,6.548310993,6.204580274,6.130927444,6.449773473,6.38201723,6.315516619,6.419737844,6.202272187,6.363398988,6.446100621,6.34811483,6.456496611,6.572278829,6.294279976,6.500715787,6.566777223,6.452781351,6.423138773,6.524889087,6.305240076,6.34148728
Compound9962,6.37982084,6.336578011,6.386526057,6.305803057,6.315018709,6.318539167,6.435752116,6.16630787,6.400223893,6.392554123,6.299389895,6.271104394,6.268899051,6.277194735,6.339486744,6.449502239,6.440269531,6.420300173,6.358316359,6.40349505,6.309528276,6.358959718,6.385364269,6.233047015,6.320712535,6.431509517
Compound3552,7.573492724,7.275246357,7.42484343,7.403941985,7.386023994,7.53543462,7.255653232,7.514317628,7.394392748,7.401816223,7.521013383,7.097706094,7.492105531,7.002145803,7.387602792,7.31277878,7.196054991,7.605708088,7.044914027,7.155277605,7.237840951,7.49908288,7.3510849,7.244293326,6.690933063,7.553576617
Compound4110,6.872446336,7.31839623,7.255938066,7.201499064,7.206738877,7.165340282,7.039299514,7.259071907,7.151757936,7.246544716,7.070949693,6.892352851,7.122196484,6.870428479,7.120325279,7.097925807,7.174753251,7.236276336,7.188981501,6.962135152,7.041417452,7.138406046,7.15127916,7.150633789,7.099948805,7.026113579
Compound6496,6.990230307,6.94738549,6.830148458,7.022409274,7.063150111,6.502241338,6.781199219,6.95738681,6.985756874,6.64384868,6.669813462,6.841810084,6.960601793,6.818430357,7.094905812,6.808735409,6.933916719,6.961690626,7.078764919,6.976800478,7.084193498,6.753048624,6.607629539,7.032698156,6.891879412,6.886795558
Compound7790,6.876726401,6.719989244,6.939010469,6.829415893,6.828882548,6.799357147,6.818605712,6.898415627,6.970818446,6.869188336,6.888449333,6.904225904,6.699242343,6.584490986,6.920631237,6.932371598,6.903424355,6.697182092,6.927656258,6.781957311,6.829062867,6.975869891,6.767456073,6.946132171,6.865189362,6.980556037
Compound8528,6.43983257,6.66563874,6.566928933,6.440977236,6.434788379,6.537331897,6.625868083,6.642023505,6.528285065,6.598591215,6.608056506,6.482657961,6.371258859,6.506824454,6.290886855,6.565560442,6.481741532,6.171339832,6.692503266,6.69259022,6.577315239,6.470954699,6.546307302,6.54468992,6.506579031,6.705913032
Compound9934,6.351522429,6.416635895,6.477517324,6.386106417,6.260098925,6.368809979,6.367362498,6.077417679,6.362375809,6.449605614,6.481696736,6.283053706,6.492629022,6.42214489,6.534444155,6.339236126,6.466148892,6.484704827,6.454336235,6.450414637,6.219121797,6.45321421,6.397982691,6.474399073,6.288056761,6.434122093
Compound1576,7.68229766,7.483392813,7.392258298,7.579528306,7.513155205,7.510084765,7.318709347,7.611598511,7.631711054,7.639474992,7.532943569,7.504064359,7.530086003,7.682871305,7.491685516,7.336530902,7.379768802,7.349300673,7.268443977,7.571159557,7.571363199,7.611811971,7.518380738,7.545615404,7.66137802,7.287268915
Compound799,8.05797769,7.89695402,7.738047413,7.93555335,7.817802555,8.07144349,7.889345261,7.659926765,7.917470971,7.796805118,7.741798982,7.907749296,8.035683116,7.898518524,7.846095897,7.6990649,7.992532967,8.005674944,7.515257574,7.757727817,8.021816657,7.818325511,7.901318615,7.837423187,7.695584152,7.571721761
Compound2680,7.350844946,7.403848945,7.593837211,7.557827486,7.46154435,7.248013472,7.396913852,7.574224015,7.606241591,7.479854392,7.405364543,7.32309005,7.353263845,7.408332129,7.367470559,7.353838117,7.009129667,7.540265914,7.594576078,7.416658597,7.5996866,7.661448796,7.548295832,7.478197396,7.380828652,7.238111484
Compound3740,7.193513041,7.320463346,7.270304816,6.623177449,6.923858661,6.877271159,6.866950136,6.889089293,6.555722468,7.010627148,7.001056333,6.102656596,7.177135988,7.365851635,7.036897347,6.89091159,7.020635379,7.250253942,7.100849034,6.893091597,6.944316607,6.862280203,7.158757006,7.306495433,6.954735253,7.176370507
Compound4734,7.031953788,7.401680219,7.429876887,7.39249555,7.442841368,7.368161493,7.317832881,7.218002637,6.864165934,7.344437783,7.307396714,7.387277408,7.261177453,6.96891269,6.835158579,7.402128145,7.086103993,7.230123087,6.717294832,7.421990152,7.479348447,7.386575047,7.095670776,7.144303338,7.221256902,7.172891967
Compound7214,7.010017021,7.013529377,6.65896876,6.636983179,6.876546598,6.863443417,6.987644612,6.835418852,6.840405652,6.844337555,6.76977952,6.772842367,6.982332972,7.069856574,6.865775462,6.861505299,7.04905578,6.946086266,6.853389741,6.872481179,6.543693797,6.800487263,6.730936049,7.039715631,7.059794251,6.61100814
Compound9269,6.495839044,6.590223376,6.611103124,6.606391039,6.435767627,6.688821974,6.729096367,6.678133948,6.673793618,6.623152147,6.593479163,6.574501157,6.704999399,6.551811578,6.69066003,6.600671011,6.631353214,6.648927902,6.536542765,6.588925373,6.693634333,6.69589551,6.578154963,6.627781124,6.720349251,6.686189591
Compound9501,5.736476449,5.553148018,5.527296567,5.481414534,5.63407625,5.816915364,5.475565654,5.61231497,5.758707432,5.521321095,5.64135612,5.452547723,5.676424858,5.494223822,5.464060692,5.57505933,5.714387486,5.411767601,5.585412133,5.542627694,5.571681315,5.688380935,5.476117559,5.529024462,5.725769873,5.243255589
Compound1162,7.303501401,7.933457392,7.659217418,7.918703694,7.708826211,7.814013205,7.88323965,7.898619639,7.947710473,7.686078202,7.557805124,7.71976746,7.571121254,7.923797985,7.881174165,7.920559627,7.786490445,7.613034527,7.876949509,7.78955605,7.627973543,7.897338978,7.597741788,7.828458568,7.818504303,7.81718269
Compound5219,6.671227271,7.183754493,6.708289882,6.834858771,7.043596441,6.963562313,7.059026405,7.113944684,7.255352557,7.0123764,7.141695831,7.172355105,7.221733475,6.857875699,6.94511302,7.082935157,7.325359421,7.030620311,7.093263232,6.926154895,6.632453829,7.191914519,7.269088253,7.147339023,6.967050198,7.245972488
Compound6549,6.793371506,7.124684897,7.018472068,6.790756143,6.941865113,6.890160574,7.179638464,7.036145151,6.157255648,6.772744321,7.120098975,6.816626127,6.971866004,6.927133769,6.960804552,6.875770555,6.768891769,7.051132156,6.996117959,6.975962348,7.011874986,7.110325691,6.979008682,6.913550312,7.224123127,6.865110987
